Content,Sentiment
braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk gibi bırakıyordu bu resmen 1 günlük sakal gibi alıyor fena kesiyor ama benim gibi beceriksizseniz ve ilk kez deniyorsanız yani daha önce böyle kullanan birisi 3 dk da keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor ama eli alışık olanlar ısınmadan şak şak keser diye düşünüyorum ısınması kötü kesimi motoru falan güçlü. ben kışın kullanmak için sakalım sert olduğu için duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması için duşa girmeden kesicem duşumu alıp çıkıcam. yani pişman olmadım alınır güzel cihaz.,0
Harika bir makina çok güzel kesiyor. Kasası oldukça sağlam ben çok beğendim vallahi,1
Evet beğendim fakat Fiyatı biraz uygun tutulabilir.,2
ürün anlattığı gibi herkese tavsiye ederim...,1
Ürün güzel ama paketleme hoşuma gitmedi,2
ürün tek sıkıntısı çabuk ısınması sıfıra yakın bir kesim sağlıyor sakalı alırken tarakla küçük takılmalar oldu onun dışında kesimi beğendim,2
Ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler,1
"Başarılı ürün, fiyat/Performans ürünü",1
gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi çok güzel gönül rahatlığıyla alabilirsiniz,1
"Gerçekten çok kaliteli bir tıraş makinesi. Hızlı kargo için de teşekkür ederim. İlgili bir satıcı, bu ikinci siparişim.",1
ürüne yapılan olumlu yorumlara bakarak aldım. ürün anlatıldığı gibiydi. gayet kullanışlı ve pratik. umarım uzun ömürlü olur.,1
arkadaşlar alin,1
fiyatına göre maksimum verimli,1
cok kaliteli buldum tavsiye ederim,1
"çok ince ağız yapısı var, şarjı çok iyi. Braun var fiyat bunun rahat 3 katı ama şarj ve ağız bu makine yanında hiç. marka işte",1
çok kaliteli herkes e tavsiye ederim,1
Traş makinası çok güzel gerçekten mükemmel 3.yü aldık,1
Makina çok şık güzel bir ürün tavsiye ederim,1
2 adet aldık 1. 3 . 5 aydır bizde memnunduk. anlayın vorteil teşekkürler. 2. yeni aldık ondada sorun yok,1
"Ürünü ikinci alışım, birini hediye olarak aldım, oda memnun kaldı. Sakal için özellikle çok güzel sıfıra yakın bir kesimi var. ama sinek kaydı derseniz hayır. Tarak kısmı dışındaki yerler plastik. fiyatına göre çok iyi. tavsiye ederim.",1
Beğendim gayet güzel,1
Evet beğendim alacak arkadaşlara tavsiye ediyorum,1
"Ürün resimdeki gibi gayet güzel ele oturuyor, titreşim yok denecek kadar az, kesmesi süper , kıl yolma tahriş etme yok, tavsiye ediyorum alın kullanın ilk kullanımda çok memnun kaldım teşekkürler...",1
ŞUANLIK GÜZEL BAKALİM KAÇ AY GÖTÜRECEK 2 YIL GARANTİSİ VAR GÖZÜKÜYOR UMARİM KIYTIRIK GARANTİLERDEN DEĞİLDİR,2
hem uygun hem kalite başka ne denilebilir ki?,1
ürün çok güzel ve kullanışlı iki adetyaldim.tavsiye ederim.,1
Ürünü beğendim herkese gönül rahatlığı ile tavsiye ederim,1
Çok güzel bir ürün. tavsiye ederim. çevremde kullananlar da memnun,1
Sakalı sıfır kesmiyor ama makina güzel kaliteli,2
Çok kalitesiz kesiyor. Berbeelerdelki markasız ürünler bundan çok iyi. Kullanmıyorum duruyor öyle.,0
Vücut kılları ve sakallar için güzel bi ürün. Sarjı uzun gidiyor ve çabuk doluyor. Fiyat performans ürünü,1
Hayır boynumu kesti,0
çok güzel ve kaliteli ürün,1
Ürünü çok beğendim,1
Güzel ürün Jet hızında teslimat Teşekkürler..,1
Ürün ikinci kattan düştü sadece çizildi...,1
tarif edildiği gibi kaliteli bir ürüne benziyor,1
"Ürün çok güzel, kullanışlı, motoru kuvvetli. Fiyatı da uygun",1
Adaptörü kırık geldiği için yorum yapamıyorum. Görünüşü fena değildi.,0
arızalı ürün gönderiyo..dikkat edin..iadeaide yokmuş,0
"ürünü nisan ayında satın aldım, saç tıraşı performansı güzel ama sakal için ideal değil. birde şarj olurken pilden ses geliyor şarj süresi gayet makul. 2,5 ay sorunsuz kullandım fakat sonrasında bozuldu, motor kendi kendine yavaşlayarak duruyor, düzeltmek için içini açıp motoru elle döndermek gerekiyor ama sonrasında aynı sorunu tekrar yapıyor.",0
SÜPER ÜRÜN SÜPER MAĞZA SÜPER KARGO TEŞEKKÜRLER,1
"Ürün gayet başarılı. Gönderici firma gayet özenli kargolamış. Ürün resimde olduğu gibi geldi ve sakal içinde 1-2-3 numara traş başlıkları, mini temizleme fırçası, ince yağ, şarj adaptörü de çöküyor kutudan.",1
Ürünü kuaförde görüp de aldım. Cildi tahriş etmiyor ve sarjı çok uzun süre gidiyor.,1
sadece sakal keseceğini düşündüm ama saçta kesimi yaptım biraz zorlandı sanki ama oldukça başarılı bir makine tavsiye ederm,1
ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi çok güzel,1
ürün süper hiç çekinmeden alabilirsiniz,1
çok harika tavsiye ederim,1
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.,1
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum,1
Begenmedim iade ettim,0
kötü bu firma dan almayın,0
ürün kalitesi çok iyi performans olarakta güclü makina,1
Ürünü begendim fakat kullanılmış gibiydi,2
"Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.",0
Fiyatına göre iyi çekme yapmıyor.,0
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...,0
"Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-2-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.",1
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.,1
"Hayır, beğenmedim",0
Motoru güçlü. Kesimi çok iyi çekme yok. Hassas bölgelerde kullanırken dikkatli olmak lazım :) iki eksiği var bana göre: başlıkları çok kötü. Ben 3 mm kullanırım kısaltırım diye umuyordum ama kullanamadım. Başlığı takınca kesmedi sakalları birazını alıyor birazını bırakıyor falan. Kısacası başlık performansı kötü. Diğer sorun da parlak yüzeyler. Hem çok kaygan hem de kıl tutuyor çok fazla.,2
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi,0
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.,1
Ürün iyi ama kargo teslimat süresi berbat,2
evet beğendim tavsiye ederim,1
"bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.",1
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.,1
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi,0
ürün çok kaliteli,1
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1200 modeli de saç için çok iyi tavsiye ederim,1
evet cok iyiydi,1
"Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 2 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim",1
"ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.",0
"Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...",1
ÜRÜNÜN FATURASI YOKK E.POSTAYA GÖNDERMEMİŞLER MAKİNADA SORUN YOK ÇALIŞMASI GÜZEL BU FİYATA ALINABİLECEK EN GÜZEL MAKİNE....,2
makinayı beğendim Berberim zaten,1
TEŞEKKÜRLER....,1
"Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.",1
Henüz kullanmaya başlamadım ama güzel görünüyor.,2
urun begen dım skıntısız geldı ama urunu alıcak arkadaslar sunu bılsınler urun sac ıcın uggun degıl sakal ıcın uygun,2
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,1
"Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 2mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 2 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.",0
tavsiye ederim emsallerinden iyi,1
İyi ama paketleme iyi deyil,2
ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım ??,0
Ürünü beğendim güzel kesiyor kullanışlı bir ürün,1
daha öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar. cihaz eksiksiz ve düzgün saglam calisiyor,1
ürün güzel begendim tıraş oldum hiç çekme yapmıyor,1
Çöp e atacak parası olan HEMEN alsın !!!!,0
Ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur.,0
"Ürün güzel, iki günde elime ulaştı. Kesim aparatlarının plastik kalitesi iyi gibi duruyor umarım zamanla gevşeyip kırılmaz.",1
urun anlatıldığı gibi geldi teşekkürler,1
uzun kil sakal saç kısaltma işi yapmıyor. sadece sıfır kesmek ve kısa olanı dahada kısaltmak için kullanılabilir. neredeyse jilete yakın kısalıkta kesiyor.,0
Tavsiye ederim güzel alışveriş,1
ürünü beğenmedim sakal almak için yapılmış ama sakalları çekiyor,0
urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi ile aldim,1
İLK İZLENİM OLARAK GAYET GÜZEL KULLANDIKCA GÖRECEĞİZ BAKALIM,1
Herkese tavsiye ederim kesinlikle pişman olmazsınız,1
evet çizimi güzel,1
alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken bazı makineler gibi kıl çekme yapmıyor çok stabil ve güzel kesiyor vücut içinde mükemmel aynı yerden 4-5 sefer geçmenize dahi gerek yok biz biraz zorlayıp saç traşı bile olduk bu ürün alınır,1
Ürün 20 saatte elime ulaştı teşekkür ederim,1
Ürün harika parasını hak ediyor,1
İlk izlenim olarak gayet güzel ürün. Sessiz çalışıyor. Sıfıra yakın alıyor. Tavsiye ederim. Kutusunda garanti belgesiyle geldi. Şahsen beğendim.,1
Temiz ve güzel ürün tasfiye ederim..,1
boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi bu cihazda aldım. Tavsiye ediyorum,1
"Fiyatına göre gayet güçlü, güzel, kullanışlı, kaliteli. Emeği geçenlere teşekkür ederim.",1
Sıfıra yakın alıyor. Tarakları da özellikle sakal için yeterli,1
Ürün çok sesli ve güzel kesmiyor. Ne zaman sakal traşı yapsam ıssırıyor. Yüzüm kan içinde kalıyor.,0
güzel ürün teşekkür ederim ??,1
Daha iyisi zor olur,1
ürünü çok araştırdım bunda karar verdim iyi kide almışım çok zarif çok şık bir makine çift şarj girişi var normal kendi fişi var standlı şarj birde mikro usb girişi var powerbank ilede istediğiniz yerde kullanabilirsiniz tavsiye ederim,1
Kuaförüm kullanıyordu. Jilet gibi traş yapıyor. Sakal düzeltme için çok harika bir ürün.,1
Teşekkürler ürün anlatıldığı gibi,1
ürün ilk geldiğinden kullandım Çok beğendim Size de tavsiye ederim,1
Güzel bir ürün tavsiye ederim,1
"Ürün gayet güzel,önceden de aldığım bir ürün.İçeriğinde de eksik çıkmadı,garanti belgesiyle birlikte güzelce paketlenmişti.Teşekkür ederim.",1
"Benim gibi yüzünüze jilet vurmuyorsanız, zarar veriyorsa bu traş makinası tam aradığınız diyebilirim, daha önceki traş bıçaklarımla 2-3 kez geçtiğim yerleri tek seferde tertemiz alıyor, kesinlikle kullandığım en iyi makina.",1
Bi sıkıntı olmadı zaten bu cihazı başkasında görmüştüm alabilirsiniz sıkıntı yok,1
iletişim iyi ürün sağlam ve kullanışlı,1
Paketleme süper Ürün çok güzel ve kibar ışıklandırması güzel kullanışlı duruyor ancak kutuyu açtım makineyi çıkardım bıçağın olduğu yerdeki koruma aparatını çıkardım her yerinde küçük kıllar vardı ve iç tarafına sıkışmış uzun kıl vardı büyük ihtimal kullanılmış iade edilmiş ürün gönderdiler,2
ürünü henüz deneme fırsatım olmadı memnun olacağımı düşünüyorum. Berberimde görerek sipariş verdim ense sakal vs için çok uygun olduğunu söyledi.,2
gerçekten tam bir küçük dev..ufacık duruyor ama zehir gibi çalîşıyor,1
Anlatıldığı gibi işlevsel bir ürün. Bıçağı gayet keskin. Küçük boyutlu olması sakal düzeltmede çok kullanışlı hale geliyor. Kısacası beklentimi karşıladı.,1
7-8 senedir Powertech RFC - 258 ürününü kullanıyordum ve çok memnundum. Temizlerken kırıldı ve Powertech markasına güvendiğim için TR 658 ürününü aldım. TR 658 ürününden pek memnun olduğumu söyleyemeyeceğim. Daha yüksek fiyatlı olmasına rağmen RFC 258’den bariz bir şekilde kullanışsız bir ürün.,0
Ürünü yanaklarımı traş ederek kullandım güzel jilet gibi alması zaten mümkün değil ama sıfıra yakın traş ediyor birde ıslak kurusu olsaymış iyiymiş,2
