Content,company
facebook gibi ama değil de facebooka fotoğraflarınızı koyduğunuzda sanki insanların gözüne sokuyormuşsunuz gibi his oluyor işte o his burda yok rahat rahat otun böceğin size güzel gelen şeylerin fotograflarını koyabiliyor altında arkadaşlarınızla geyik yapabiliyoruz eskiden smile sevmeyen ben bile ergen gibi bol bol smilelar kullanıyorum öyle bir site bu duruma da igaddict deniliyor,facebook
mal facebook tarafindan yine dizayni radikal olarak degistirilmis update ilebok gibi olmus her tusun yeri gicikligina degistirilmisfacebook gibi salak bir firmaya satarsan bole olur zaten adamlar kurcalamadan duramiyor abicim,facebook
kullanıcı gizlilik sözleşmesinde yaptığı değişikle kullanıcı fotoğraflarının satışının önünü açmış sonra da geri adım atmıştır mevcut gizlilik politikasının ilgili maddesi“… bir ticari işletmenin ücretli veya sponsorlu içerik veya promosyonlarla bağlantılı olarak kullanıcı adınızı görünümünüzü fotoğraflarınızı size herhangi bir bedel ödemeksizin göstermemiz için para ödemesini kabul etmiş sayılırsınız”şeklini alacaktımilyar dolar değer biçilen bir şirketin geri adım atarken yaptığı açıklamada ise oldukça komik ¨açıklamada fotoğraf satışına yönelik yorumlamaları bu ifadeler gerçek değil ve kullandığımız dilin karmaşıklığı nedeniyle böyle bir yanlış anlaşılma ortaya çıktı şeklinde reddedilmiş ve fotoğraflarınızın satışıyla ilgilenmiyoruz sözleşmenin maddelerinin daha açık anlaşılması için dil üzerinde çalışıyoruz diye de eklenmiş¨sadece mobil cihazlarla çekilen fotoğrafları pazarlamak için stock şirketlerinin kurulduğunu ve bunun için özel uygulama geliştirdiğini büyük stock şirketlernin de mevcut politikalarında değişikliğe giderek mobil cihazlarla çekilmiş fotoğrafları kabul etmeye başladığını düşününce aslında facebookun 1 milyar doları geri almaya çalışması oldukça anlaşılabilir bir tutum anlaşılmaz olanın ise satıştan kullanıcıların kazanç elde edemeyecek olmaları,facebook
instagram artık fotoğraflarınızı satabilecekmiş ünlüler yaşadı o vakit,instagram
bu programdaki filtreleri çok seviyorsanız ama fotoğraflarınızın kırpılmasını istemiyorsanız canvas sizelarını uzatıp kare haline getirerek filtrelerin fotoğraflarınızın tamamına uygulanmasını sağlayabilirsiniz çerçeveler ve köşelerin karardığı filtreler pek kullanılamaz ama böylefotoğrafların instagram filtresi uygulanmış orijinal çözünürlüklü halleri ayrı bir klasörde tutuluyor oradan alıp fazlalıkları croplarsınız,instagram
twitterdaki fenomenlik saçmalığı bunda da varmış yalnız açıkcası ben bunu daha çok sevdim twitterda o sürekli övülen fenomen denen tiplere baktım biri sincap tipli bi kezban biri dandik espriler yapan bir balta bazıları troll yani adam akıllı bir şey yok bir de instagramınkilere bakıyoruz bin civarı takipçileri varmış bu arkadaşların ve oda arkadaşılarmış öyle birbirlerinin fotoğraflarını çekerek başlamışlar bu instagram olayına tamam bizim esra ceyda gibiler hafiften salaklar ama her türlü twitterdaki fenoman denen zibidilere tercih ederim bunları o değil bu arkadaşları nasıl bulduğumu anlatsam kimse inanmaz youtube sağolsun nasıl bi yönlendirmesi varsa zizekle başladım oradan hitchensın ayn randı kelimenin tam anlamıyla çökertmesini izleyip sinan çetine küfrettim oradan neil degrasse tyson big bang theoryde oynamış ona geçtim en son yönlendirmede de youtube yeter artık beynin yandı al biraz da şunlara bak demiş olacak ki bu arkadaşları gördümbkz youtubeda izlenen videonun pornoya dönme süreci,youtube
facebook tarafından satın alınması sonrasında twitter entegrasyonunun kaldırılması kendisine birçok kullanıcı kaybettirmiştir sonuçta mobil kullanıcı uygulama dışına çıkmayı pek sevmiyor kendimden örnek verecek olursam pictwittercom adresine sahip olan fotoğraflara merak edip bakıyorken imgurcom adresinden paylaşılan resimlere bakmak içimden gelmiyor çünkü biri uygulama içinde ve dolayısıyla hızlı açılırken diğeri web tarayıcıyı kullandığından daha fazla içeriği yüklemek ve daha yavaş açılmak zorunda kalıyor bunun yanında sadece ios ve android uygulamaları üzerinden değil de web arayüzü üzerinden de instagrama erişim sağlanması ise başarılı bir girişimdir bu sayede instagramın birçok kullanıcıyı çektiğine eminim,facebook
hesabı kapadığın zaman komple siliyormuş facebook gibi beni bekler sandım çok pişmanım sözlük,facebook
facebook profilimi kapatmamı sağlayan güzel bir uygulama,facebook
fotoğrafın üstüne iki kez tıklayınca direkt beğen yapan uygulamaimiş mahvettin beni instagram çıktı foyam ortaya fuck,instagram
instagram hakkında şunları söylemek istiyorumkaç kişi legoyla oynamış bu kadar resmini neden paylaşıyosunuz ben bilmiyorum her ne zaman baksam ya bir şekli yapılmıştır ya gerçek boyutlarda füze ne bileyim denizaltı hatta gökdelen falan yapılmıştır görürüm ve uyuz olurum açıkçası ziyan lan oha ayrıca ne paralar dökülüyo manyak mısınız olm star wars sevgisi yurtdışı sosları manyak gibi instagramda her gün bunların bir çeşidini öğreniyorum alamıyorum yiyemiyorum ancak ben zaten görmek de yemek de istemiyorum ayrıca yesem beğenmiycem biliyorumson olarak da starbucks götüm bir daha da bu ürünleri konuşmıycam yeter bir kere içimi döktüm o kadar oh be,starbucks
instagram için ufak bir tüyo sırf profilinizi başkaları takip etsin ya da başkaları resimlerinize like yapsın istiyorsanız keşfet butonundaki resimlere yorum olarak şu kelimeleri yazmanız yeterli 100 işe yarar diye bir garanti yok tabi,instagram
mesaj sever uygulamalar kervanına katılmış fotoğraf paylaşım uygulaması tanımı belli fotoğraf paylaşma yeri neden dm gibi bir özellik ekliyorsun bünyene zaten önce twitter saklı olan saklı olduğu için güzel olan dmye öne çıkarıp elimizin altına sokuşturdu şimdi de sen kendine dm özelliği ekledin arkadaş istemiyoruz mesajlaşmak sen facebook musun anlamadım gitti sonra bu tarz uygulamaların boku çıkıyor tabi çıkar zaten video olayına da sinir olmuştum geriye kalan tek edepli sakin sessiz uygulama vine kaldı umarım onu da harcamazlar,twitter
müthiş mal bi trendinsanların ne yediğini içtiğini bacağını kıçını vs paylaşması açısından bahsetmiyorum fotoğraf çekme fotoları nette barındırma vs açısından bahsediyorum şöylebi kere ister ürünkatalog fotoğrafçısı olsun ister moda fotoğrafçısı isterse düğün fotoğrafçısı olsun fotoğrafta net ve temiz görüntü almaya çalışır ama bu mal instagramda fotolar leş retrovintej filtreleri ile olabileceğinden daha çirkin boktan ve iğrenç renkli bi hale getirilir sırf trend diye herkes öyle yapıyor diye ve üstüne daha cool olduğu sanılır şu sitelere bi girin bakalım da instagramdaki gibi salak saçma fotoğraf var mı  color correctiondan falan anlamasını beklemiyorum elbette ama karanlıkta çekilmiş bol grainli bi fotoyu bile saçma sapan filteler ile daha da çamur bi hale getirmek malca karanlıkta çekilmiş fotoyu geç zaten hazır filtreler her fotoğrafa ışık durumuna vs göre gitmediğinden çoğu fotonun renk tonlaması iğrenç bi hale geliyo fotoğrafı 640x640 px çözünürlüğünde ve kare olarak barındırmak malca 750 megapiksel de olsun demiyorum ama en azından 2mp falan olmalı hadi mobilde 640 px normal sayılabilir de e web için de çıktı sonradan bu platformsırf bu mal trend revaçta olduğu için ve daha fazla kişiye ulaşabilmek için profesyonel fotoğraf makinası kullandığı halde 640px olarak buraya fotoğraf yükleyenler varsırf bu mal trend revaçta olduğu için ios 7nin stock camera appine bile kare fotoğraf çekme modu geldi benim için bi zararı yok ama apple gibi bi firmanın bile bu mal trend için ekstradan böyle bi işe girişmesi gereksizve yine sırf bu mal trend revaçta olduğu için bazı markalar firmalar instagram hesabı açmaya başladı hadi markaları siktir et de beyaz saray gibi tarihisiyasi bi yerin offical fotolarına bakmak isteyeceksin diyelim ama flickr 500px vs varken 640 px boyutunda instagramda bonus fotoğrafçılık26932661bkz fuck retro,apple
23 yıl öncesine kadar gayet güzel fotoğrafların paylaşıldığı bir uygulamayken artık herkesin hesap açmasıyla yavaştan çöplüğe dönüşmüş uygulamahashtag nedir bilmeyen insanlar neden hashtag yazıyorlar üstelik bu fotoğrafları facebook gibi ortamlarda paylaşıyorlar anlamıyorum az önce facebook ana sayfamda şöyle bir kombo gördüm pikniğe giderken selfie çekilelim dedik lan hashtag nedir bilmediğin belli bari kurduğun cümle çektiğin fotoğraf orijinal olsa be,facebook
facebook varken neden kullanılır anlamadığım site olm çok lüzumsuz amkhele bir resme bin tane heşteg koyan kızlar tatil fotoğrafları klişe yorumlaramk ne rezil tiplersiniz sokayım fotoğrafınıza,facebook
bağzı kilitli hesaplara sinir olduğum uygulama fotoğraflarının görülmesini istemiyorsan zaten facebook var yükle oraya hem twitter biosuna buranın adresini verip üstüne burayı niye kilitliyorsun bre kezban  hadi facein yok veya kapattın o zaman instagram adresini twitter biona yazma,facebook
ogurmeme yetecek kadar filtrelenmis fotolarin sergilendigi facebook un farkli bir versiyonu aplikasyon,facebook
kullanmadığım ama beğendiğim bir siteuygulama kullanmama sebebim gereksiz bulmam fotoğraf çekilmeyi sevmiyor oluşum ve çektiği doğamanzara vs fotoğraflarını sevdiğim fotoğrafçıları başka yollarla da takip edebiliyor olmam ama asıl konumuz bu değil beğenmemin sebebi amacının belli olması bu hedenin facebook bana nedense saman altından su yürütmek mesajı veriyor gibi geliyor bir sürü şey paylaşılıp takip edilebilir facebooktan ilkokuldan arkadaş bulma konusu da dahil ama sanki bütün bunların hepsi asıl neden olan kendini sergileme amacını kamufle etmek için bir süs tabii ki benim de feysbuk hesabım var her ne kadar sevmesem de ama bu instagramda amaç belli demin de söylediğim gibi fotoğraf çekmek başka bir amacı yok her şey apaçık ortada tabii sadece siteuygulama güzel dedim çekenler değil yanlış anlaşılmasınekleme ve o buhranlı günü geçen hafta yaşadım ben de hesap aldım,facebook
kor olasi uygulamabizi rezil etmeye and icmis olduguna inandigim bir baska uygulamafacebook arkadaslarindan herhangi biri instagrama katildiginda senin bildirim sayfanda belirir hatta yer eder ki sen orada diger bildirimler arasinda gezinirken yanlislikla parmagin degsin ve gonullu olmasan da o arkadasini takip etmeye baslaiste instagram boyle tuzaklarla doludur bu acidan twitter ile buyuk benzerlik gosterir,instagram
aynı cihaza daha önce bir hesapla kurulduysa o cihaza bir daha kurulamayan hedeufaklığa tablet aldık oynasın diye oyunlar oynadı bu arada büyüdü şimdi instagram kullanmak istiyor annesi ve babasının fotoğraflarını likelayacakmış kendi çektiklerini de paylaşacak ama bir sorun var instagram bu cihaza daha önce başka hesaplarla kurulum yapıldı diye yeni hesap kurdurmaya izin vermiyor tabii burada suç bende çocuğun tabletinde bu haltları ben yemiştim daha önce araştırdım cihazı fabrika ayarlarına döndürmek bir yöntem ama deneyip sonuç alan görmedim herkes böyle akıl vermiş bir de her şeyi baştan kurma derdi var en esaslı yöntem hiç instagram kurulmamış bir cihazda hesap açmak ve bu hesabı daha sonra tablette kullanmak tablette register olayı mümkün değil login mümkün elbetteçevremdeki herkesin telefonunda da instgram kurulu maşaallah 80lik pederin telefonunun android olduğunu hatırladım dün akşam o heyecanla ziyaretine gittim telefonunu aldım instagramı kurayım dedim cihazınız bu sürümle uyumlu değil diye izin vermedi bir baktım meğer telefonun android sürümü 22 gibi bir şeymiş ben 51 sürümüne geçmişim o telefon 2lerde halen dumurların zirvesinde ohalarla gezindimbluestacks diyen var ama o illete ile çok önce bulaşmıştım bir daha işim olmaz sözlükteki son yorumlar da çok olumsuz bilgisayarıma kurmam kendimi durduk yerde riske atmam bir instagram hesabı açıcam diye sonuç alma ihtimalim de epey düşük zaten,instagram
dünyanın en iyi fotoğraf uygulaması facebook yönetimine aittirkullandığı logoyu değiştirdikten sonra formdan düşmesini beklerken daha da popülerleşti dünyada fotoğrafçılık üzerine tekel oldu aklıma benzeri olarak 500px flickr ve deviantart geliyor ama uzaktan yakından alakası yok artık,facebook
facebook kezbanlığına çevirmeye çalışanlar dışında dünyayı ve iyi fotoğrafı izlemek açısından iyi bir kütüphane,facebook
ınstagram kullanmaya basladiktan sonra facebook kullanmayi biraktim  mutluyum,facebook
facebook hesabımı kapattıktan sonra iyice alıştığım kullandıkça daha da sevdiğim uygulama takip ettiğim hesaplar tam benlik kediler köpekler vahşi hayvanlar güzel tatil yerleri doğa fotoğrafları vb şöyle bir girip gezince mutlu oluyorum gözüm gönlüm açılıyor son dönem şöyle bir akım dikkatimi çekti düz açık renk bir masa ya da parke midir nedir bilemeyeceğim bir fon üzerine kahve kurumuş ya da canlı çiçek yaprakları çeşitli objeler koyup bir kompozisyon oluşturulup fotoğraf çekiliyor ve bu fotoğraflar 30005000 beğeni alıyor pastel tonlar kullanılması daha uygun sanırım çünkü örnekler hep böylenedir ne değildir anlamadım anlayan varsa beri gelsin,facebook
açık ara en iyi sosyal platform 200300 tane güzel giyinen seksi hanımefendi takip ediyorsun ve her sıkıldığında açıp tespih çeker gibi bakabiliyorsun doğa fotoğrafı sanatsal fotoğraf kedi fotoğrafı falan paylaşmak asıl olay gibi sanki ama yine de bence dünyanın en saçma şeyi bana ne lan arkadaşlarımın çekmeye çalıştığı güzel fotoğraflardan güzel fotoğraf arayışım olsa bakacağım son yer instagram olur,instagram
boku çıktı bununda 5 sene önce facebook neyse ona döndü bir kaç seneye kullanıcı sayısını yavaştan yitirmeye başlar,facebook
yavaş yavaş akraba kesimininde kullanmaya başlamasıyla birlikte facebook gibi olacağından şüphem olmayan yavaş yavaş soğuduğum hedebkz amele kaynıyor,facebook
neymiş efendim instagram tipsizi tipli karizmatik seksi güzel gösteren bir aldatmaca imiş çok beğendiğimiz kusursuza yakın yüzleri olan model oyuncu kesimi bile dergilere 15 cm den selfie yapıp filtresiz yayınlamıyor farkındaysanız 15 cm mesafeden sırandan bir telefonla herkes ebleh çıkar kardeşim tabi ki de filtre vb oynamalar olacak fotolarda ayrıca sanatsal kullanımlara da yarar bu filtreler instagram candır facebookta foto bakmaktan çok daha pratik ve görsel olarak da daha güzel en azından yıllar sonra insanlar için çok güzel bir anı albümü hazırlamaya sebebiyet verir,instagram
facebook a göre daha çok kullandığım ve sevdiğim sosyal paylaşım platformu,facebook
facebook olma yolunda hızla ilerleyen uygulama önce fotoğraf ebatlarını esnettiler şimdi de dmye görüldü özelliği gelmiş,facebook
twitter adındaki çöplüğün görsel versiyonu,twitter
şu instagram zımbırtsında kızın biribulunduğu metro durağının ismini çekip de 200den fazla beğeni alıyorsa artık bu sosyal medyanın suyu çıkmıştırerkek olgusu da cidden sapıklık üzerine kuruludur,instagram
yakınlarda yeni gönderileri göstermek için facebook algoritmasına benzer bir algoritma ile karşımıza çıkacak uygulama yani daha sık iletişim halinde olduğumuz kişilerin gönderilerini daha yukarıda ve daha sık göreceğiz beğeni ve yorum olarak iletişime geçmediğimiz kişileri daha aztabii ki bu gönderilerin beğeni ve gösterim sayılarını büyük bir ölçüde etkileyecek,facebook
popüler olan facebook sosyal paylaşım sitesinin fotoğraf video metin paylaşımı gibi bir çok paylaşım yapmasının ardından twitter kısa mesaj paylaşımı yapmaya başlamasına karşın instagram da yalnızca fotoğraf paylaşımı yaparak pastadan pay almayı hedefleyen bir sosyal paylaşım platformudur flicker gibi fotoğraf paylaşımı konusunda çok önce internet aleminde yerini alan bir siteye karşı yalnızca smart telefon ortamında kullanılacak şekilde tasarlanan instagramın akıllı bir stratejiyle ipi göğüslediğini görüyoruz instagram üzerinde yalnızca fotoğraf paylaşmakla kalmıyor aynı zaman da e ticaret amaçlı kullananları da görüyoruz satacakları ürünün fotoğrafını ve özelliklerini paylaşarak satış yapılıyor instagram asıl amacı olan fotoğraf paylaşımı konusunda da basız üyelerin çok popüler olduğunu ve bu platformu kazanç kapısı haline getirdiklerini görüyoruz girişimci zekaya sahip kimselerin bu platformu da sonuna kadar sömürmeleri kaçınılmaz oluyor haliyle küçük ölçekli ve yalnızca kare görüntülere izin veren instagram bu dayatmasıyla ilgili esneklik yoluna giderek fotoğrafların büyük halini de serverdan indirme imkanı tanımış olmakla birlikte dikdörtgen fotoğrafların da kare zemin üzerinde ve croplanmadan sunulması imkanını vermiştirilginç fikirlerle instagram platformunda her türlü imkanı sonuna kadar kullananlar her zaman olacaktır,instagram
kendileri de beğenmemiş olacaklar ki nasıl zorlu karar süreci geçirdiklerini anlatan video hazırlamışlarnasıl tv denildiği zaman ikon olarak akla ilk eski tv görseli geliyorsa instagram denildiğinde de o retro makine akla geliyorduşimdi instagram çakması olan yeni bir uygulama logosu gibi olmuş,instagram
sonunda videoları 15 saniyeden 1 dakikaya çıkardılaruzun zamandır beklenen bir şeydi ama nolur bu kadar kalsın yoksa facebook videolarına dönecekyaşasın trafikte şarkı söylemekhayır tabiki sadece yola bakıyorum,facebook
yeni logosu gereksiz güncellenmiş  artık o logo instagram ile bütünleşmişken bu zihni sinir değişiklik hiç iyi olmamış,instagram
yeni logosu koca bi göt deliği ve sağ üstündeki ben gibi olmuşgercekten bu kurumsal firmalarin kafasini anlamiyorum ya modernlik sanat arastirma gelistirme ya birak allah askina sembol olmus bi logon var senin tamamen degistirmek nasi bi vizyonsuzluk ya 100 yillik firmalar bile logo degistirirken 30 yillik surecte ufak ufak degisiklerle yapiyor bunu mesela starbucks kaldi ki ig alaninca devrim niteligindeydi resmen foto paylasimin semboluydu bu bu logoyu binlerce firma brosurune kartina hatta dukkan tabelasina bile yerlestirdi o logo şeklinde urunler piyasaya cikti binlerce satti vsvs saymakla bitmez yeni logo nedir ne alaka keyfiyen 3 havalimani yapip ataturk havalimanini kapatmak gibi bu ayni hissi veriyor bana cidden eski logo eskidiyse ufak tefek oyna fontunu cizgisini degistir bu nedir ya,starbucks
logosu için konuşmak gerekirse her zamanki gibi değişim sonrası saman alevi misali gelen eleştiriler gün geldiği zaman sönüp gidecek google için de öyle olmuştu yani boşuna kasmayın adamlar yapmış koymuş çok da şaapmamak lazımayrıca bence daha dinamik duruyor yeniliğe bu kadar kapalı olmamak lazım,google
şu anda android telefonumdan korumalı hesaplara baktığımda farklı dillerle  bu hesap gizlidir  tarzında yazılar yazıyor aynısı steam hacklenince de başıma gelmişti umarım bi sıkıntı olmaztanım fotoğraf paylaşım ağı,steam
bizde biraz sosyal medyadan yararlanalım facebook un bku cıktı bizimde bari instagramımız olsun diyoruz yok anam bacım yok heryer pembikgeberikgelin dolu bu ne yahu sankı ananın evı pembe dogdugun koy toprakları pembe sanırsın herkes satolarda villalarda büyümüş bir ben kuluncaktan çıkmışımherkes bir moda ikonu herkeste bir dekorasyon telaşı deli misiniz len başka derdiniz mi yok iş bittiyse bir kahveyi haketmişimdir sanki çamaşır suyuyla heryeri kırkladıçocuk uyuduysa dizi keyfi sanki gergedanla dövüştükocamla gezmeler ee adam fotoda yok kımı yıyorsun gibi değişiklerin olduğu bir uygulama haline gelmiş,facebook
akışı tekrar en yeniler en üstte çıkacak şekilde ayarlamayı opsiyonel olarak sunmadıkça kullanasım gelmeyen uygulama twitter da böyle bir aptallığa girişip aynı gün ayarlara ekledi bunu aktif edip etmemeyi,twitter
snape ünlülerin snapchat adreslerini yazmaya üşendiğim için çok saçma uygulama diyerek bok attığımı instagram duymuş ve durumu çözmüş,instagram
ilk çıktığından beri severek kullanıyordum ancak snapchat yükleyip biraz da o tempoya alıştıktan sonra instagram bana biraz donuk yavaş eski moda sıkıcı gelmeye başlamıştı yeni çıkan hikayeler özelliğiyle birlikte bir nebze de olsa gözüme yeniden sempatik gelmeye başladı ama yine de snapchatteki aksiyon burada olmaz gibi geliyor çünkü instagram artık dayı yenge amca teyzelerle doldu o zaman snape devam yalnız köpek dilli filtre kullanmayın lütfen,instagram
yaptığı son hamle sonrası acaba snapchat facebook tarafından nasıl bir hamle gelecek merak ettiğimdir,facebook
snapchat aldı yürüdü tabi instagram durur mu o da hikayem diye bir ekleme yaptı ben de bir kaç gündür kullanıyorum snapden hiçbir farkı yok evet özenme söz konusu evett bence de snap de kim baktıysa senin hikayene görebiliyorsun ya hani instagram hikayede de aynı şey geçerli bilmeyenlere söyleyip sevaba girmek istedim evet gülücük özenti de olsa başarılı bir adım takdir ettim,instagram
story modunun gelmesiyle birlikte popülaritesinin bir kaç tık daha artacağını düşündüğüm fotoğraf uygulamasıözellikle snap kültürünü kendi uygulamasına taşımaya çalışan instagram bence şuan bu özelliğini insanlara tanıtma ve kendi içinde gelişim aşamasında tam yıkıcı darbesini vurmuş değil filtre özelliği gelse instagramda takip ettiklerimizden ayrı olarak istediklerimizin storylerini görsek onları da seçebilsek kişiye özel story yollansa daha fazla insana ulaşarak kalıcı hale dönüşebilir bu arada tabi ki snapchatin yerini tutmaz diyen de var snapchati bitirir diyen de var şahsen benim için hem snap özelliklerini hem de kalıcı fotoğraf profil özelliklerini bir arada sunan bir uygulama rahatlık ve kullanış anlamında güzel olur fazla snapchat kullanan birisi değilim ama story özelliği benim gibi snapchatle fazla haşır neşir olmayanları kendi uygulamasına çekebilir ki story modunu snapchatten daha fazla kullandım diyebilirim,instagram
facebook el atıgı herseyı ktledıyor o ları yutan eleman galiba ellam,facebook
