text,predicted_sentiment,confidence_score
Bana eskileri hatırlattı çok güzel bir oyuncak alın ve sıkıldıkça oynayın,2,0.99769443
Ürünün paketlemesi çok güzeldi Çok güzel geldi tavsiye üzerine aldım umarım memnun kalırım,2,0.997509
belli ki tutuşmuşlar 2 ay 5’er gb internet hediye etmişler çok üşeniyordum ama bu hareketten sonra hattımı kesin değiştireceğim teşekkürler türk telefon 5 gb internetine kalmadık,1,0.99837875
Iyi diye düşünüyordum ama oturma odasından yatak odası çekmiyor nedense ben anlamadım bu konuyu gonderim konusunda amazzona teşekkür ederim fena değil başlangıç seviyesinde olsun benim işimi görsün diyorsanız alabilirsiniz,0,0.9943269
yaptıkları akıllıca şeyler var gerçekten artık alışveriş uygulamalarına bile ihtiyaç duyulamayacak bir duruma getiriyorlar uygulamayı direk alışveriş yapabiliyorsun uzun videolar izleyebiliyorsun ve canlı yayın yapabiliyorsun tek uygulamada 45 ana uygulamanın işini yapıyor,1,0.9983876
Çok beğendim  oğlum bayıldı kurulum kolay iyi paketleme eksiksiz ürünsiyah deri temizliği kolay olacak  60 kg çok rahat ben oturdum oğlum rahat rahat sığdı insanlar neden yanlış bilgi veriyorlar anlamıyorum,2,0.9975343
ürünü almayı düşünüyorum güzel görünüyor,2,0.9975909
Fiyatına göre kalitesiz bir ürün Sırt kısmında hiç esneme yapmıyor kazık gibi ve oturma yeri çok küçük Plastiği kalitesiz,0,0.99892753
on numara paraya kıyın alın bi tane ,2,0.9966401
hayirbeğenmedik çok kalitesiz iki deva kulandık paramızı çöpe atik,0,0.99894065
damat bohçası icin aldm teşekküler trendyol,2,0.9972506
ürün çok sıradan hafif kapladığı alan hafifliğine göre çok büyük sesi iyi çıkıyor fiyatına göre iyi sayılır,0,0.99091023
bugün itibari ile kullanmaya başladığım internet sağlayıcı firma geçiş sürecim sıkıntısızdı gerekli ilgiyi sağladılar türk telekom aboneliğimin iptalini de kendileri gerçekleştirdi şu anda hız testi yaptığım zaman 30 mbps hız alıyorum türk telekom kullanırken bana 50 mbps hız verecekleri sözünü vermişlerdi ama 26 nın üstüne geçtiğimi çok hatırlamıyorum bir kaç kere 4550 görmüşümdür evet müşteri hizmetlerine bağlanması oldukça zor ama internet sitelerinden talepte bulunursanız er ya da geç dönüş yapıyorlar,1,0.99838316
 spoiler 16 mbps’e kadar limitsizakn’siz adil kullanım kotası hizmetin download hızı iş saatleri dikkate alınarak 071900 saatleri arasında 16 mbps’e kadar 190700 saatleri arasında 3 mbps olarak otomatik ayarlanır spoiler bok atmadan önce okuyalım iş saatinde aknsiz kampanya yapmışlar bu kadar ucuzalink yerine foto atıp kaçmak kolay tabi,1,0.99826896
bunun yerine daha kaliteli almalisiniz,0,0.99440813
Dikiş kısımları yamuk yumuktu fiyatı uygun olabilir ama değecek bir ayakkabı değil Giydiğim an ayağımı yara yaptı,0,0.9987997
beter olsunlar pegasus ne boksa buda aynı bok bi aynı bok carrefourda var bu sabancilar niye böyle oldu arkadaş anlamıyorum,1,0.9981559
bkz 35302425,1,0.99828833
her ismini gordugumde icimden gerizekali gibi vatan ta ta ta tan diye mirildandigim jingle a sahip marka,1,0.99826413
İyi güzel şey,2,0.9973586
Çok kısa sürede elime ulaştı,2,0.9944312
Işığı çok düşük Ses kalitesi cızırtılı ucuz ses çıkaran oyuncak bebeklerin sesi gibi Bu yorumu okuyup alanın aklından şüphe ederim,0,0.9989034
urun gayet portatif gercekten nostalji yasatiyor ogluma diye aldim ama esimin daha cok hosuna gitti tesekkurler,2,0.9974923
yüzüm ve alnım geniş olmasına rağmen beğenmedim bana hiç yakışmadı ama kutususilgi bezi ve paketlenmesi iyiydi kargosu hızlıydı ben beğenmedim ama genel anlamıyla kötü değil,0,0.99880946
bence hiç kullanışlı değil atlarken koluma çarpıyor ve acıtıyor,0,0.99845624
Güzel bi ürün ama ekran kalitesi hoşuma gitmedi,0,0.9424388
indirim ve kaldırmak kelimelerini duyduğunda istemsiz bir korku yaşayan gençliğin baş mimarı kendilerine böylesine arızalı bir neslin yetişmesine bulundukları katkılardan ötürü ne kadar teşekkür etsek azdırne zaman bir indirim ya da kaldırış yapmaya karar verseler o kalkan şeyleri indirmek için bizi kullanıyorlar şimdi yeni bir indirim söylentisi var ortada kormuyor değilim,1,0.99835396
Ekran kalitesi kötü birde 400oyun yok aynı oyunları tekrar listelemişler ama yinede zaman öldürmek için oynanır,0,0.9975364
bana gelen mesaj aşağıdaki şekildedir hemen iptal edeceğim 170 liralık faturayı 250 lira yaptılar iptal için telefonlara ulaşılmıyor internet sitesine girilmiyordeğerli turknetli … numaralı hizmetinizin fiyatı şubat 2023 tarihli faturanıza yansıyacak şekilde 24990 tl olarak güncellenmiştir özgür internete en rahat şekilde sahip olmanız için her koşulda destek olacak çözümleri düşünüyoruz 10 aylık internet hizmetinizi 19990 tlden taksitli veya tek çekim olarak ödemek ister misiniz fırsattan yararlanmak için  b001,1,0.9981482
çalışmadı hiçbir oyun kolu algılamadı ya benim ürün bozuk ya da kandırmaca almayın pişman olursunuz,0,0.99893993
Kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün Ne kızartırsanız kızartın sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz Gerçekten tavsiye edebileceğim bir ürün ,2,0.99720734
ürünu saç kesmek icin aldik gelir gelmezde kullandik hala icindeki şarji bitmedi cidden basarilı  hem ucuz hem kaliteli ,2,0.99707663
urun göründüğü gibi hiç değil kargo dan da memnun kalmadım hep kiriş kiriş şekildeydi yani iyi bakın alın yani,0,0.9983192
Sorunsuz teslimat ve ürün teşekkürler,2,0.9970407
Oynanan oyunların hiçbirini kaydetmiyor sürekli baştan başlıyorsunuz en büyük eksisi bu bence,0,0.98586625
Ben aldığımda daha pahalıydı ama şu an harika bir indirimde İçinde tam 400 oyun yok ve görüntü kalitesi çok çok iyi değil ancak hem vakit geçirmek için hem eskiye dönmek için başarılı bir ürün,1,0.9760104
arızalı geldi iade ettm,0,0.9988267
Hayır kesinlikle,0,0.98784024
Söylenen kadar küçük değil 3 tost ekmeği sığıyor Isınma ve pişirme süresiyle harika bir ürün Isgaraların çıkıp temizlenebilmesi büyük bir konfor,2,0.99725324
Ürünü şarjdan çıkarınca çalışmıyo o yüzden şarjdayken oynadık bu seferde ilk günden bataryası şişti atmak zorunda kaldık ve bazı oyunlar açılmıyo tavsiye etmiyorum,0,0.9982368
Tefal kalitesi ortada zaten ürün çok güzel çorbayı pürüzsüz yaptı teşekkürler,2,0.99718755
Hızlı kargoladı İyi ve güvenilir satıcı Makina da süper fiyat performans ürünü falan değil baya güzel Düşünmeden alabilirsiniz özellikle sakal için harika,2,0.9971897
İyi değil pahalı,0,0.9947566
cok güzel maziye götürüyor,2,0.9976876
Ürün sorunsuz magaza iletisimi yok magaza cok ilgisiz,0,0.99882764
geçen sene internet hattımı iptal etmiştim ne kadar doğru karar vermişim gsm hattı olarak zaten hiç kullanmadımalt yapısı bu kadar yetersiz leş olan bir şebekeyi sizde hayatınızdan çıkarın,1,0.9983773
Gayet güzel ama sakal için saç a olmuyor,1,0.9810447
her geçen gün kullanım süresini benim de düşürdüğüm uygulamadır kendisi bugün toplasan 5 dakika açık kalmamıştır telefonumda ve bilgisayarımda diğer günler de üç aşağı beş yukarı ona keza girerken de herhangi bir merak veya hevesle girmiyorum sıkılacak kadar vaktim olduğunda açıp iki bakıp kapatıyorumçok severek kullanan insanların bile bir süre sonra nötr kalamadan antipatik bulacağını düşünüyorum modası geçen diğer platformları kendi haline bırakırken instagram’a karşı iyiden iyiye kıl kapmaya başladım ben sanırım kendi içinde büyütüp yetiştirdiği ve meşhur ettiği bomboş kitleyle ilgili bir durum,1,0.998409
Kalite olarak beğenmedim plastiği ekranı herşeyiyle 400 oyunu oynayamadan elinizde kalacak hissi veriyor,0,0.9983992
Henüz kullanmadığım için yorum yok,0,0.983435
Aldığımda bir kere telefonu taktım bozuldu kimseye önemsiyorum,0,0.9779798
Ürün güzel ama kargo çok geç geldi,2,0.9554619
Kurulumu çok kolay bir tornavida yeterli zaten kurulmuş iki parça geliyor tavsiye ederim kaliteli derisi var,2,0.9972134
zaamaninda geldi rahat bir koltuk,2,0.9970618
Kırmızısından kızıma mavisinden oluma aldım çok beğendik Televizyona bağlanmasını çok tavsiye etmiylorum çünkü çok pixel oluyo ve göz yoruyo,2,0.997517
Ürün bozuk kutu acik bir sekilde geldi içinde saç teli vardı aynı zamanda resimdeki ürünle gönderilen ürün aynı değil,0,0.9987482
ürün lekeli geldi hayal kırıklığı yaşadım,0,0.99871945
yönetim kurulu şu şekilde olan firmabkz yiğit bulut,1,0.99835193
ilk kullanıcılarından olarak en sevdiğim sosyal medya hesabı işi güç derken bir süre hesabı dondurmak zorunda kaldım zaten bütün akrabalar doldu oraya da amca teyze kaynıyor oooffff bi bitmediniz,1,0.9982249
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,1,0.9977082
Göründüğü gibi çok güzel yolculukta ve otobüste vakit geçirmek için çok iyiii ,2,0.9977047
600 lira para verdim moser aldım bir kutu da geldi rezalet garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım 100 liraya bu ürünü aldım mükemmel bir traşı var jilet traşıyla aynı traşı var hemen hemen çok memnunum,2,0.9939148
Tavsiye etmiyorm cocuk ipi gibi aynen atlanmıyor bile Cok adi tavsiye etmiyorm,0,0.99835336
olmadık yerlerde açtığı mağazalarla bakkal konseptine geçen şirket,1,0.9981889
beklentimi karşıladı  sağlamkurulumu kolay teşekkür ederim,2,0.99690694
Ürünün fiyati tamam makul ama posete konulup gonderilmis plastik kokusundan giyilemeyecek bir ayakkabi sadece hizli gonderim icin 2 yildiz veriyorum urunu iade gonderdim,0,0.99864644
Hayır aldın ürün deforme olmuş,0,0.99718225
playstation için stok yok ama isterseniz gelince haber verelim diyorbende tamam diyorum ertesi gün stoklarda diye mail atıyor siteye giriyorum yine stok yokmilletin akli ile alay eden bir firma,1,0.998338
en kısa sürede değiştirmeyi planladığım telefon firması,1,0.9984162
bozuk ürün elime geçti,0,0.99690443
Bu kadar iyi çıkacağını tahmin etmiyordum7 yaşındaki kızım için aldımBeklentimin üstünde olduKargo da hızlıydıKurulumu da çok kolay,2,0.9971674
Görselde gözüken gibi değildir Gözlük kutusu dandik kapatıldığında bile kapanmıyor iade edecektim sinirimden kırdım,0,0.99792564
Fiziksel olarak bir mağazada gördüğünüz takdirde bu ürünü 90 almazsınız  Tuşlar birbirine sıkıştırılmış  küçültülmüşkullanışlı bir ürün değil  Logitech firması ürünün kullanışlı olmasını değil olabildiğince küçük olmasını amaçlamış Mouseta ona keza çok kaliteli bir ürün değil  Piyasadaki 4050 tllik setler kullanış olarak daha iyidir ,0,0.997246
adamlar tek bir abonelik fiyatına ea access xcloud xbox game pass hizmetini verecek ya inanılmaz bir şey bu ülkede 23 exc oyun için playstation almanın mantığı kalmadı 23 exc bitirdikten sonra oyunsuz kalacağıma xbox alırım ama yok bizim ps fanboyları damlar şimdi but xbox has no games diye haha.,1,0.9982681
en mutlu insanlar evlerinde oturup bir şeyler üretmekle meşgul olanlardır mutsuzlar dışarı çıkar güzel kıyafetler giyer kafelere gece kulüplerine gider eğlenir dostlarla sohbet ederler mutsuzluğun semptomu mutsuzluğun kendisi değil eğlenme ihtiyacıdır yazma cesareti  nihan kaya,1,0.99833953
Mükemmel  Hepsiburada coma teşekkürler,2,0.9976114
ayda bir paket sigara parasına sunulan oyun kütüphanesii,1,0.9983417
turk telekom kullanıyorsanız ve turknet e geçmek istiyorsanız oldukça kolay zaten sizin mevcut bir internetiniz var yani işlemler tamamlanana kadar kesinlikle internetsiz kalmıyorsunuz bir gün eve geldiğinizde internet gitmiş oluyor modem arayüzüne girip turknet tarafından verilmiş kullanıcı adı ve şifrenizi sisteme girerek interneti kullanmaya başlayabilirsinizbu durumda ikinci bir durum ttnet aboneliğinizin adsl turknet aboneliğinizin ise vdsl olması vdsl modem ayar ve parametrelerini doğru yapıp 35 mbit internet kullanmak bununla mümkün aksi halde 16 mbit kullanırsınız modeminiz çok eskiyse mesela 10 yıllık vdsl desteklemediği için yeni modem almalısınızyeni aboneler turknet aboneliğini başlattıktan sonra evlerine en yakın santrala gidip yetkili kişiyi bulup okulu işi olduğunu saha ekibiyle mutlaka iletişime geçmesi gerektiğini komşuların da problem yaşadığını mutlaka saha ekiplerine cep telefonu numarasının ulaştırılması gerektiğini anlatsın evinizin yakınındaki santralle komşuluk hukuku işliyor diyebilirim daha önce de internet bağlatacağım zaman santrala uğradığım daişlerim çok çabuk hallolmuştu işte maalesef tt ile turknet arasındaki en bariz fark burada ortaya çıkıyor ilk internet bağlattığım günü hatırlıyorum tt ofisine gittim geri zekalılar ehliyetmi kabul etmediler ve illa kimlik istediler ve gidip kimliği evden getirdim ancak kendileri benim sinirimi yatıştırmak için eve hattı bağlayacak ekibin amirine ulaştı ve benden sanki çok önemli yakın bir arkadaşının oğluymuşum gibi bahsetti sonuç olarak internetim öğleden sonra bağlanmıştı turk telekom bir günde evi bağlayabilecek belki tek operatör maalesefturknete geçme sebebiniz illa hızı ve ucuzluğu olmamalı bizi bu altyapıya bu ücretlere ve bu sisteme mecbur bırakan türk telekomu boykot için de olmalı bu cümleye katılmıyor olabilirsiniz turknetin tt altyapısı kullandığını dolayısıyla ona para kazandırdığından saçma bulabilirisiniz ancak şuan turknet in payı sadece 5 eğer bu oran 25 olsa turknet ve hala bozmazsa kesinlikle ttnet bu operatörle rekabet etmeye çalışacaktır,1,0.99836725
turkcell’in 4 yıl önce getirdiği vowifi teknolojisini hala getirememiş çağ dışı operatör birkaç samsung modeline 1 ay önce gelmiş daha apple için yakında deniyor düşünsene bütün rakiplerin bir yenilik getiriyor ve onu 4 yılda getiremiyorsun zavallıcareklama harcadıkları paranın bir kısmını altyapı ve müşteri memnuniyeti için harcamayı düşünmeliler artık,1,0.9983021
profesyonel goruntulu amatorler topluluguan itibariyle musteri hizmetleri yok hic bir sekilde aranmiyorbin bela zorlukla kapattirdigin internete hala borc cikarip bir de icraya veriyorlar,1,0.9982961
çocukların bu kadar severek oynayacağını tahmin etmemiştim 12 ve 14 yaşlarındaki iki oğlum da severek oynuyor hatta paylaşıyorlar,2,0.99723166
kadar ilgisiz sizlere tavsiyem urunu alacaksaniz baska bir magazadan almaniz,0,0.9988049
Çok kucük geldi cocuk gözlüğü gibi hic begenmedim,0,0.9988605
adını bile duymadığım bir marka ve eski nesil bir anakart,0,0.98587555
son üç haftadır internet kendi kendine gidiyor sürekli aradığımda düzeltiyorlar telefon edip rest çekicem kesin interneti diye benzer problemler yaşayan insanların olup olmadığını da merak ettiğim için buraya yazdım,1,0.99841154
Ürün iyi paketlenmiş bi şekilde elime ulaştı,2,0.99750865
şu günlerde hardcore oyuncu olmayan bir kimse için çok mantıklı olan sistem aylık cüzi bir miktar karşılığında 910 tanesi aaa kalitesinde olmakla beraberbu sayısı microsoftun yaptığı hamleler ile birlikte daha da arttıcak yaklaşık 150200 oyun bulunduran abonelik sistemii,1,0.99837387
Çekim kalitesi neredeyse sıfır yorumlara aldanmayın masaüstünüz varsa takılmaktan bir hal oluyor ürün berbat bir çekim kalitesi var 30 portunda kullanıyorum ona rağmen berbat,0,0.998662
son dönemde çokça bkz onların ikisi de size mi ait fotoğraflarıyla karşılaştığım paylaşım platformudur,1,0.9983512
Fıstık ezmesi ve mercimek ekmeği yapmak için almıştım Bakliyatları parçalayamıyor o kadar kötü ki blender aparatı Hiç umduğum gibi değil parça parça bırakıyor çok pişmanım aldığıma şimdi iade işlemleri için telefon bekliyorum Umarım iade olur yoksa hayatımdan arzum markasını tamamen sileceğim,0,0.99881387
sıfır kalite okadar diyorum yürürken kundura ayakkabısı gibi ses çıkarıyor  cami şadırvanindaki takunyalar gibi hiç tavsiye etmem 5 para etmez,0,0.9990055
Bayıldıkk elimizden düşmüyor gerçekten bizi geçmişe götürdü ,2,0.9972013
kullanmadığım için övünmüyorum övünülecek bir tarafı da yok zaten ama bu işin artık boku çıktı be kardeşimtatile çıktığınızda gezmeye gittiğinizde sizin için özel anlarda tabii ki fotoğraf çekin ama sonradan bakıp o günleri yad etmek için çekin burda paylaşıp da arkadaşlarınıza sizin de aslında mutlu olduğunuz bu hayattan zevk aldığınız izlenimini vermek için değil ordan alacağınız likeların sayısına bağlamayın dopamin düzeyinizisiz ve etrafınızdaki herkes bu sistemin içinde olduğu için kimse sorgulamıyor herkese işin normali bu geliyor belki de veya bi saçmalık olduğunu kabul etseniz de sistemi terketmeye cesaretiniz yok bir şey kaçıracakmış gibi sankibu çok büyük bir hastalık arkadaşlar telefonu elinizden bırakın dışarı çıkın ve insanlarla sohbet edin bırakın yüzde 95ini umursamadığınız insanların ne yaptığını fotolarını takip etmeyi,1,0.99809664
şimdilik sorunsuz kullanıyoruz rengi pembe aldık biraz fazla gösterişli daha geniş bir renk skalası sunulabilir,2,0.9976126
ürün iyi tavsiye edilir Ense traşı için aldım kullanmadan yorum yapmak istemedim çoğu makineye göre hakkını veriyor,2,0.9970476
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
superonline felaket.,0,0.9988763
hayal kırıklığı  18 Eylül 2018 de teslim almıştım 3 sefer kullandım 15 Nisan 2019 da bozuldu bakalım yapılabilecek mi,0,0.99854255
gecenin bir yarısı durup dururken modemdeki internet ışığının sönmesiyle sinir katsayısını yükseltebilen kurum neymiş bulunduğumuz bölgede sorun varmış 2 gece önce de vardı bu sorun aynı şehirdeki tanıdığım herkesin bağlantısı koptu fazladan kota veriyorsunuz millete üstüne zart zurt bağlantı koparıyorsunuz nooldu verdiğiniz kota bi düşünün bakalım,1,0.9983121
farklı operatörlerin sözde bilgili yöneticileri başlığa akmaya başlamış bile turknetin tüm omurgası türk telekom üzerinden değildir kendi fiberi üzerinden de hizmet vermektelerdir yani tüm arızalarda ttye gidecekler diye bir kaide yok bgp nedir mplste nedir deyince yüzünüze boş boş bakacak adamların ahkam kesmesine bayılıyorum ya,1,0.99826765
kütüphaneye yeni gelen the walking dead a new frontieri ebedi kütüphanenize ekleyebildiğiniz abonelik sistemi.,1,0.99803156
Ürünün fiyatı uygunTilar kullanışlıFarklı bir sürü oyunŞarzı uzun süre gidiyorTeşekkürler,2,0.9972229
ara sira kesinti oluyordu da cok kafaya yormamistim bayagi herkesin gitti herhalde bu sefer,1,0.9984048
mobil uygulama ve kısa mesaj ile size özel teklif adı altında tanıttığı 29 liralık şu tarifenin faturasını 41 lira olarak kesen üstelik bunun için 12 ay taahhüt isteyen firma neymiş vergi dahil değilmiş o fiyata ulan arkadaş senin kazanacağın net paradan bana ne adam gibi yazsana oraya vergi dahil değildir diye yok yüzlerce madde arasında tüketici arayıp da bulacak da öyle öğrenecekhukuk ülkesi olsa fazladan kestiğiniz parayı katlayarak sizden almamız lazım ama nasılsa kimsenin umrunda değil adalet falan,1,0.99837047
Siyah beyaz olandan sipariş ettiğim halde siyah olan gönderildi berbat bir magaza alışveriş yapmayın kesinlikle bir yıldız bile fazla,0,0.9989146
Çok şık ve ideal boyutlarda bir tost makinasıHızlı gönderim için trendyol’a teşekkür ederim ,2,0.9971933
her yerde 830 840 liraya satılan s4 mini telefonu 950 liraya satarak müşterilerini ayakta skmeyi hedefleyen oluşum,1,0.99833244
Ürün bir kutuyla gönderilmesi gerekirdi kargo poşetiyle gönderilmiş Kalıbı sert,0,0.99873966
