sentiment,content,Text_Length,predicted_sentiment,confidence_score
1,12 senelik türk telekom serüvenimin sonunda geçiş yaptım turknete fakat gel gör ki modem panelinde 16mbps gözüken internet olmasına rağmen pratikte 5mbps geçemiyorumindirme ve hız testleri her şeyi yapıyorum yok alınan hız 5 mbps hat değerleri gayet iyi modeme atanan hız 16mbps ki hattım vdsl destekleyen bir hat gördüğüm kadarı ile akn gibi modemde gözükmeyen bir limitleme koyuyorlar donanımhaberdede bu konu ile alâkalı çeşitli şikayetler bulunmakta yalnız değilimneyse kendilerine destek kaydı oluşturdum aradım bir kaç kere hız güncellemesi yaptık telefon görüşmesi ile teknik destek bana dönüş yapıyor hattınızda herhangi fiziksel bir problem yok modeminizi kontrol edin vse iyi de arkadaş daha aynı gün 16mbps aldığım telekom hattı aynı kablo aynı hizmet nasıl oluyorda size geçince hat değerleri 16mbps olmasına rağmen hızım 5e düşüyor aknye takılmış gibibilmiyorum 12 sene sonunda telekomu bıraktığım için seviniyor gibiydim fakat bu sorunumu çözmemekte diretirseler eğer tekrar telekoma geçiş yapmak zorunda olacağım ne yazık ki refsiz bir şekilde turknet e geçişini yaptığım yakınlarımı da alarak yanımakotadan kurtulayım diye geçtim ay boyunca kotalı hıza geçiş yaptım sanki,1187,1,[9.443271e-04 9.982804e-01 7.753095e-04]
0,Ayakkabı çok aşırı sert pek hoşuma gitmedi,42,0,[9.9785727e-01 8.6862891e-04 1.2740758e-03]
2,Ürün bekledigim şekilde ve hızlı geldi Içinde 400 tane oyun var ve kalitesi çok iyi Zaman geçirmek isteyenler için önerebilirim ,128,2,[1.7129731e-03 6.7251344e-04 9.9761450e-01]
1,türkiye de bulunan en güvenilir teknoloji marketidirçalışanları samimidir sizi kandırmaya çalışmazlar müşterinin tekrar gelmesi için memnun kalacağı ürünü satmaya çabalarlar yani esnaflık adabını halen koruyan nadir kurumsal firmalardan biridir,244,1,[1.0049456e-03 9.9833125e-01 6.6385232e-04]
2,4 iş günü içerisinde elime ulaştı ki bu da korona virüsle uğraştığımız şu günlerde hızlı sayılır Sadece paketleme biraz daha dikkat edebilirlerdi ama hız ve ucuzluk on numara tebrik ederim,188,2,[1.5410131e-03 9.1331912e-04 9.9754566e-01]
0,Hiç beğenmedim çok dandik geldi,31,0,[9.9893206e-01 6.2589563e-04 4.4203544e-04]
1,bozuk olan ürünü 1 ay içinde bu bozuktur diye teslim ettiğim ve bu bozuk değildir diye geri aldığım aynı zamanda 1 aylık değişim ve iade hakkımı benim götüme sokan firma,169,1,[1.016984e-03 9.983253e-01 6.577884e-04]
2,Bana eskileri hatırlattı çok güzel bir oyuncak alın ve sıkıldıkça oynayın,73,2,[1.3973248e-03 9.0824079e-04 9.9769443e-01]
2,Ürünün paketlemesi çok güzeldi Çok güzel geldi tavsiye üzerine aldım umarım memnun kalırım,90,2,[1.8903109e-03 6.0064899e-04 9.9750900e-01]
1,belli ki tutuşmuşlar 2 ay 5’er gb internet hediye etmişler çok üşeniyordum ama bu hareketten sonra hattımı kesin değiştireceğim teşekkürler türk telefon 5 gb internetine kalmadık,178,1,[8.9814846e-04 9.9837875e-01 7.2311208e-04]
0,Iyi diye düşünüyordum ama oturma odasından yatak odası çekmiyor nedense ben anlamadım bu konuyu gonderim konusunda amazzona teşekkür ederim fena değil başlangıç seviyesinde olsun benim işimi görsün diyorsanız alabilirsiniz,222,0,[0.9943269 0.0043923 0.0012807]
1,yaptıkları akıllıca şeyler var gerçekten artık alışveriş uygulamalarına bile ihtiyaç duyulamayacak bir duruma getiriyorlar uygulamayı direk alışveriş yapabiliyorsun uzun videolar izleyebiliyorsun ve canlı yayın yapabiliyorsun tek uygulamada 45 ana uygulamanın işini yapıyor,273,1,[8.7493251e-04 9.9838758e-01 7.3756493e-04]
2,Çok beğendim  oğlum bayıldı kurulum kolay iyi paketleme eksiksiz ürünsiyah deri temizliği kolay olacak  60 kg çok rahat ben oturdum oğlum rahat rahat sığdı insanlar neden yanlış bilgi veriyorlar anlamıyorum,206,2,[1.8318204e-03 6.3383282e-04 9.9753428e-01]
2,ürünü almayı düşünüyorum güzel görünüyor,40,2,[1.7058322e-03 7.0327200e-04 9.9759090e-01]
0,Fiyatına göre kalitesiz bir ürün Sırt kısmında hiç esneme yapmıyor kazık gibi ve oturma yeri çok küçük Plastiği kalitesiz,121,0,[9.9892753e-01 6.4357487e-04 4.2893144e-04]
2,on numara paraya kıyın alın bi tane ,36,2,[2.9433719e-03 4.1655696e-04 9.9664009e-01]
0,hayirbeğenmedik çok kalitesiz iki deva kulandık paramızı çöpe atik,66,0,[9.9894065e-01 6.3942006e-04 4.1985372e-04]
2,damat bohçası icin aldm teşekküler trendyol,43,2,[2.2371835e-03 5.1216822e-04 9.9725062e-01]
0,ürün çok sıradan hafif kapladığı alan hafifliğine göre çok büyük sesi iyi çıkıyor fiyatına göre iyi sayılır,107,0,[0.99091023 0.00620142 0.0028884 ]
1,bugün itibari ile kullanmaya başladığım internet sağlayıcı firma geçiş sürecim sıkıntısızdı gerekli ilgiyi sağladılar türk telekom aboneliğimin iptalini de kendileri gerçekleştirdi şu anda hız testi yaptığım zaman 30 mbps hız alıyorum türk telekom kullanırken bana 50 mbps hız verecekleri sözünü vermişlerdi ama 26 nın üstüne geçtiğimi çok hatırlamıyorum bir kaç kere 4550 görmüşümdür evet müşteri hizmetlerine bağlanması oldukça zor ama internet sitelerinden talepte bulunursanız er ya da geç dönüş yapıyorlar,510,1,[8.5946207e-04 9.9838316e-01 7.5739349e-04]
1, spoiler 16 mbps’e kadar limitsizakn’siz adil kullanım kotası hizmetin download hızı iş saatleri dikkate alınarak 071900 saatleri arasında 16 mbps’e kadar 190700 saatleri arasında 3 mbps olarak otomatik ayarlanır spoiler bok atmadan önce okuyalım iş saatinde aknsiz kampanya yapmışlar bu kadar ucuzalink yerine foto atıp kaçmak kolay tabi,338,1,[1.0767175e-03 9.9826896e-01 6.5428158e-04]
0,bunun yerine daha kaliteli almalisiniz,38,0,[0.99440813 0.00203071 0.00356113]
0,Dikiş kısımları yamuk yumuktu fiyatı uygun olabilir ama değecek bir ayakkabı değil Giydiğim an ayağımı yara yaptı,113,0,[9.9879968e-01 6.5218861e-04 5.4807455e-04]
1,beter olsunlar pegasus ne boksa buda aynı bok bi aynı bok carrefourda var bu sabancilar niye böyle oldu arkadaş anlamıyorum,123,1,[1.2399364e-03 9.9815589e-01 6.0415501e-04]
1,bkz 35302425,12,1,[1.0597126e-03 9.9828833e-01 6.5189134e-04]
1,her ismini gordugumde icimden gerizekali gibi vatan ta ta ta tan diye mirildandigim jingle a sahip marka,104,1,[1.0338144e-03 9.9826413e-01 7.0210831e-04]
2,İyi güzel şey,13,2,[2.0763902e-03 5.6496123e-04 9.9735862e-01]
2,Çok kısa sürede elime ulaştı,28,2,[0.00270432 0.00286444 0.9944312 ]
0,Işığı çok düşük Ses kalitesi cızırtılı ucuz ses çıkaran oyuncak bebeklerin sesi gibi Bu yorumu okuyup alanın aklından şüphe ederim,130,0,[9.9890339e-01 6.1345141e-04 4.8306966e-04]
2,urun gayet portatif gercekten nostalji yasatiyor ogluma diye aldim ama esimin daha cok hosuna gitti tesekkurler,111,2,[1.9262183e-03 5.8147399e-04 9.9749231e-01]
0,yüzüm ve alnım geniş olmasına rağmen beğenmedim bana hiç yakışmadı ama kutususilgi bezi ve paketlenmesi iyiydi kargosu hızlıydı ben beğenmedim ama genel anlamıyla kötü değil,173,0,[9.9880946e-01 6.8677508e-04 5.0372735e-04]
0,bence hiç kullanışlı değil atlarken koluma çarpıyor ve acıtıyor,63,0,[9.9845624e-01 1.0350917e-03 5.0869258e-04]
0,Güzel bi ürün ama ekran kalitesi hoşuma gitmedi,47,0,[0.9424388  0.00638347 0.05117772]
1,indirim ve kaldırmak kelimelerini duyduğunda istemsiz bir korku yaşayan gençliğin baş mimarı kendilerine böylesine arızalı bir neslin yetişmesine bulundukları katkılardan ötürü ne kadar teşekkür etsek azdırne zaman bir indirim ya da kaldırış yapmaya karar verseler o kalkan şeyleri indirmek için bizi kullanıyorlar şimdi yeni bir indirim söylentisi var ortada kormuyor değilim,376,1,[9.6542231e-04 9.9835396e-01 6.8065163e-04]
0,Ekran kalitesi kötü birde 400oyun yok aynı oyunları tekrar listelemişler ama yinede zaman öldürmek için oynanır,111,0,[0.9975364  0.00135824 0.00110531]
1,bana gelen mesaj aşağıdaki şekildedir hemen iptal edeceğim 170 liralık faturayı 250 lira yaptılar iptal için telefonlara ulaşılmıyor internet sitesine girilmiyordeğerli turknetli … numaralı hizmetinizin fiyatı şubat 2023 tarihli faturanıza yansıyacak şekilde 24990 tl olarak güncellenmiştir özgür internete en rahat şekilde sahip olmanız için her koşulda destek olacak çözümleri düşünüyoruz 10 aylık internet hizmetinizi 19990 tlden taksitli veya tek çekim olarak ödemek ister misiniz fırsattan yararlanmak için  b001,517,1,[7.1800355e-04 9.9814820e-01 1.1337978e-03]
0,çalışmadı hiçbir oyun kolu algılamadı ya benim ürün bozuk ya da kandırmaca almayın pişman olursunuz,99,0,[9.9893993e-01 5.8299798e-04 4.7708160e-04]
2,Kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün Ne kızartırsanız kızartın sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz Gerçekten tavsiye edebileceğim bir ürün ,307,2,[0.00162772 0.00116493 0.99720734]
2,ürünu saç kesmek icin aldik gelir gelmezde kullandik hala icindeki şarji bitmedi cidden basarilı  hem ucuz hem kaliteli ,120,2,[2.4401033e-03 4.8327612e-04 9.9707663e-01]
0,urun göründüğü gibi hiç değil kargo dan da memnun kalmadım hep kiriş kiriş şekildeydi yani iyi bakın alın yani,110,0,[9.9831921e-01 8.8327867e-04 7.9743448e-04]
2,Sorunsuz teslimat ve ürün teşekkürler,37,2,[2.4934625e-03 4.6579298e-04 9.9704069e-01]
0,Oynanan oyunların hiçbirini kaydetmiyor sürekli baştan başlıyorsunuz en büyük eksisi bu bence,93,0,[0.98586625 0.00291066 0.01122307]
1,Ben aldığımda daha pahalıydı ama şu an harika bir indirimde İçinde tam 400 oyun yok ve görüntü kalitesi çok çok iyi değil ancak hem vakit geçirmek için hem eskiye dönmek için başarılı bir ürün,192,1,[0.00440369 0.9760104  0.01958591]
0,arızalı geldi iade ettm,23,0,[9.988267e-01 5.493614e-04 6.239652e-04]
0,Hayır kesinlikle,16,0,[0.98784024 0.00269636 0.00946342]
2,Söylenen kadar küçük değil 3 tost ekmeği sığıyor Isınma ve pişirme süresiyle harika bir ürün Isgaraların çıkıp temizlenebilmesi büyük bir konfor,144,2,[1.9385380e-03 8.0817536e-04 9.9725324e-01]
0,Ürünü şarjdan çıkarınca çalışmıyo o yüzden şarjdayken oynadık bu seferde ilk günden bataryası şişti atmak zorunda kaldık ve bazı oyunlar açılmıyo tavsiye etmiyorum,163,0,[9.9823678e-01 1.2712548e-03 4.9192976e-04]
2,Tefal kalitesi ortada zaten ürün çok güzel çorbayı pürüzsüz yaptı teşekkürler,77,2,[2.3150139e-03 4.9742445e-04 9.9718755e-01]
2,Hızlı kargoladı İyi ve güvenilir satıcı Makina da süper fiyat performans ürünü falan değil baya güzel Düşünmeden alabilirsiniz özellikle sakal için harika,154,2,[2.2238365e-03 5.8645604e-04 9.9718970e-01]
0,İyi değil pahalı,16,0,[0.9947566  0.0028501  0.00239334]
2,cok güzel maziye götürüyor,26,2,[1.5209501e-03 7.9141970e-04 9.9768758e-01]
0,Ürün sorunsuz magaza iletisimi yok magaza cok ilgisiz,53,0,[9.9882764e-01 7.0185575e-04 4.7045742e-04]
1,geçen sene internet hattımı iptal etmiştim ne kadar doğru karar vermişim gsm hattı olarak zaten hiç kullanmadımalt yapısı bu kadar yetersiz leş olan bir şebekeyi sizde hayatınızdan çıkarın,188,1,[8.8527275e-04 9.9837732e-01 7.3742867e-04]
1,Gayet güzel ama sakal için saç a olmuyor,40,1,[0.00136827 0.9810447  0.01758696]
1,her geçen gün kullanım süresini benim de düşürdüğüm uygulamadır kendisi bugün toplasan 5 dakika açık kalmamıştır telefonumda ve bilgisayarımda diğer günler de üç aşağı beş yukarı ona keza girerken de herhangi bir merak veya hevesle girmiyorum sıkılacak kadar vaktim olduğunda açıp iki bakıp kapatıyorumçok severek kullanan insanların bile bir süre sonra nötr kalamadan antipatik bulacağını düşünüyorum modası geçen diğer platformları kendi haline bırakırken instagram’a karşı iyiden iyiye kıl kapmaya başladım ben sanırım kendi içinde büyütüp yetiştirdiği ve meşhur ettiği bomboş kitleyle ilgili bir durum,605,1,[8.259591e-04 9.984090e-01 7.650304e-04]
0,Kalite olarak beğenmedim plastiği ekranı herşeyiyle 400 oyunu oynayamadan elinizde kalacak hissi veriyor,104,0,[9.9839920e-01 9.7047084e-04 6.3031178e-04]
0,Henüz kullanmadığım için yorum yok,34,0,[0.983435   0.00594832 0.01061666]
0,Aldığımda bir kere telefonu taktım bozuldu kimseye önemsiyorum,62,0,[0.9779798  0.00938819 0.01263197]
2,Ürün güzel ama kargo çok geç geldi,34,2,[0.00952163 0.03501644 0.9554619 ]
2,Kurulumu çok kolay bir tornavida yeterli zaten kurulmuş iki parça geliyor tavsiye ederim kaliteli derisi var,108,2,[2.2889243e-03 4.9761671e-04 9.9721342e-01]
2,zaamaninda geldi rahat bir koltuk,33,2,[2.461233e-03 4.770162e-04 9.970618e-01]
2,Kırmızısından kızıma mavisinden oluma aldım çok beğendik Televizyona bağlanmasını çok tavsiye etmiylorum çünkü çok pixel oluyo ve göz yoruyo,140,2,[1.8868265e-03 5.9625722e-04 9.9751699e-01]
0,Ürün bozuk kutu acik bir sekilde geldi içinde saç teli vardı aynı zamanda resimdeki ürünle gönderilen ürün aynı değil,117,0,[9.987482e-01 6.962352e-04 5.555429e-04]
0,ürün lekeli geldi hayal kırıklığı yaşadım,41,0,[9.9871945e-01 5.6660845e-04 7.1403611e-04]
1,yönetim kurulu şu şekilde olan firmabkz yiğit bulut,51,1,[9.7224646e-04 9.9835193e-01 6.7591266e-04]
1,ilk kullanıcılarından olarak en sevdiğim sosyal medya hesabı işi güç derken bir süre hesabı dondurmak zorunda kaldım zaten bütün akrabalar doldu oraya da amca teyze kaynıyor oooffff bi bitmediniz,195,1,[1.1616421e-03 9.9822491e-01 6.1344646e-04]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
1,Müşteri hizmetleri sorularımı hızlıca yanıtladı ve çözümler sundu.,66,1,[5.8394804e-04 9.9770820e-01 1.7077503e-03]
2,Göründüğü gibi çok güzel yolculukta ve otobüste vakit geçirmek için çok iyiii ,78,2,[1.6124457e-03 6.8286044e-04 9.9770468e-01]
2,600 lira para verdim moser aldım bir kutu da geldi rezalet garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım 100 liraya bu ürünü aldım mükemmel bir traşı var jilet traşıyla aynı traşı var hemen hemen çok memnunum,260,2,[5.5585001e-03 5.2666914e-04 9.9391478e-01]
0,Tavsiye etmiyorm cocuk ipi gibi aynen atlanmıyor bile Cok adi tavsiye etmiyorm,78,0,[9.9835336e-01 5.9748918e-04 1.0492484e-03]
1,olmadık yerlerde açtığı mağazalarla bakkal konseptine geçen şirket,66,1,[1.2113840e-03 9.9818891e-01 5.9970975e-04]
2,beklentimi karşıladı  sağlamkurulumu kolay teşekkür ederim,58,2,[2.6421095e-03 4.5089785e-04 9.9690694e-01]
0,Ürünün fiyati tamam makul ama posete konulup gonderilmis plastik kokusundan giyilemeyecek bir ayakkabi sadece hizli gonderim icin 2 yildiz veriyorum urunu iade gonderdim,169,0,[9.9864644e-01 7.8601134e-04 5.6767679e-04]
0,Hayır aldın ürün deforme olmuş,30,0,[9.9718225e-01 8.6502818e-04 1.9527222e-03]
1,playstation için stok yok ama isterseniz gelince haber verelim diyorbende tamam diyorum ertesi gün stoklarda diye mail atıyor siteye giriyorum yine stok yokmilletin akli ile alay eden bir firma,193,1,[9.4347412e-04 9.9833798e-01 7.1843935e-04]
1,en kısa sürede değiştirmeyi planladığım telefon firması,55,1,[8.4570755e-04 9.9841619e-01 7.3806458e-04]
0,bozuk ürün elime geçti,22,0,[0.99690443 0.00113368 0.00196179]
2,Bu kadar iyi çıkacağını tahmin etmiyordum7 yaşındaki kızım için aldımBeklentimin üstünde olduKargo da hızlıydıKurulumu da çok kolay,131,2,[2.3156386e-03 5.1691529e-04 9.9716741e-01]
0,Görselde gözüken gibi değildir Gözlük kutusu dandik kapatıldığında bile kapanmıyor iade edecektim sinirimden kırdım,115,0,[9.9792564e-01 1.3227711e-03 7.5161504e-04]
0,Fiziksel olarak bir mağazada gördüğünüz takdirde bu ürünü 90 almazsınız  Tuşlar birbirine sıkıştırılmış  küçültülmüşkullanışlı bir ürün değil  Logitech firması ürünün kullanışlı olmasını değil olabildiğince küçük olmasını amaçlamış Mouseta ona keza çok kaliteli bir ürün değil  Piyasadaki 4050 tllik setler kullanış olarak daha iyidir ,335,0,[0.997246   0.00162211 0.00113184]
1,adamlar tek bir abonelik fiyatına ea access xcloud xbox game pass hizmetini verecek ya inanılmaz bir şey bu ülkede 23 exc oyun için playstation almanın mantığı kalmadı 23 exc bitirdikten sonra oyunsuz kalacağıma xbox alırım ama yok bizim ps fanboyları damlar şimdi but xbox has no games diye haha.,297,1,[1.1038291e-03 9.9826813e-01 6.2801421e-04]
1,en mutlu insanlar evlerinde oturup bir şeyler üretmekle meşgul olanlardır mutsuzlar dışarı çıkar güzel kıyafetler giyer kafelere gece kulüplerine gider eğlenir dostlarla sohbet ederler mutsuzluğun semptomu mutsuzluğun kendisi değil eğlenme ihtiyacıdır yazma cesareti  nihan kaya,278,1,[9.8175486e-04 9.9833953e-01 6.7871989e-04]
2,Mükemmel  Hepsiburada coma teşekkürler,38,2,[1.690748e-03 6.978854e-04 9.976114e-01]
1,ayda bir paket sigara parasına sunulan oyun kütüphanesii,56,1,[8.319510e-04 9.983417e-01 8.263250e-04]
